application | 'Traço' | val='' | en=True | id=None | cx=0.500 cy=0.500 y=0.000 h=1.000
  button | 'Notas' | val='' | en=True | id=notas-da-pagina | cx=0.197 cy=0.102 y=0.069 h=0.066
  button | 'Concluir' | val='' | en=True | id=concluir | cx=0.741 cy=0.102 y=0.069 h=0.066
  pop up button | 'WOOP. isto é um desejo com obstáculo pela frente.' | val='' | en=True | id=cartao-recolhido | cx=0.500 cy=0.572 y=0.538 h=0.069
  button | 'Trabalhar nisto' | val='' | en=True | id=trabalhar-nisto | cx=0.500 cy=0.783 y=0.747 h=0.072
  pop up button | 'Mais ações da nota' | val='' | en=True | id=mais-acoes-da-nota | cx=0.500 cy=0.891 y=0.825 h=0.131
  Grupo | 'Página' | val='Quero correr de manha mas tenho preguica de levantar' | en=True | id=pagina | cx=0.500 cy=0.227 y=0.144 h=0.167
  text | 'RESULTADO (O MELHOR DESFECHO)' | val='' | en=True | id=None | cx=0.390 cy=0.416 y=0.340 h=0.151
  Grupo | 'Resultado (o melhor desfecho)' | val='' | en=True | id=campo-resultado | cx=0.500 cy=0.544 y=0.510 h=0.069
  text | 'OBSTÁCULO INTERNO (O SEU HÁBITO/MEDO)' | val='' | en=True | id=None | cx=0.427 cy=0.694 y=0.618 h=0.151
  Grupo | 'Obstáculo interno (o SEU hábito/medo)' | val='' | en=True | id=campo-obstaculo | cx=0.500 cy=0.822 y=0.788 h=0.069
  text | 'SE [OBSTÁCULO], ENTÃO EU' | val='' | en=True | id=None | cx=0.449 cy=0.946 y=0.896 h=0.100
  Grupo | 'Se [obstáculo], então eu' | val='' | en=True | id=campo-plano | cx=0.500 cy=1.050 y=1.015 h=0.069
  text | 'DEPOIS DISTO' | val='' | en=True | id=None | cx=0.363 cy=1.153 y=1.128 h=0.050
  button | 'Virar Se–então' | val='' | en=False | id=encadear-seEntao | cx=0.500 cy=1.248 y=1.182 h=0.131
  group | '' | val='' | en=True | id=forma-woop | cx=0.500 cy=0.827 y=0.340 h=0.973
  group | '' | val='' | en=True | id=cartao-analise | cx=0.500 cy=0.572 y=0.521 h=0.103
