application | 'Traço' | val='' | en=True | id=None | cx=0.500 cy=0.500 y=0.000 h=1.000
  button | 'Capturador de Folhas' | val='Expandido' | en=True | id=None | cx=0.500 cy=0.073 y=0.060 h=0.026
  button | 'Voltar' | val='' | en=True | id=campos-voltar | cx=0.113 cy=0.105 y=0.082 h=0.046
  heading | 'WOOP' | val='' | en=True | id=None | cx=0.142 cy=0.166 y=0.148 h=0.035
  button | 'Deixar como nota' | val='' | en=True | id=soltar-na-folha | cx=0.818 cy=0.171 y=0.161 h=0.019
  text | 'RESULTADO (O MELHOR DESFECHO)' | val='' | en=True | id=None | cx=0.315 cy=0.216 y=0.209 h=0.014
  Grupo | 'Resultado (o melhor desfecho)' | val='' | en=True | id=campo-resultado | cx=0.500 cy=0.255 y=0.242 h=0.026
  text | 'OBSTÁCULO INTERNO (O SEU HÁBITO/MEDO)' | val='' | en=True | id=None | cx=0.382 cy=0.314 y=0.307 h=0.014
  Grupo | 'Obstáculo interno (o SEU hábito/medo)' | val='' | en=True | id=campo-obstaculo | cx=0.500 cy=0.353 y=0.340 h=0.026
  text | 'SE [OBSTÁCULO], ENTÃO EU' | val='' | en=True | id=None | cx=0.258 cy=0.413 y=0.406 h=0.014
  Grupo | 'Se [obstáculo], então eu' | val='' | en=True | id=campo-plano | cx=0.500 cy=0.452 y=0.439 h=0.026
  text | 'DEPOIS DISTO' | val='' | en=True | id=None | cx=0.152 cy=0.516 y=0.509 h=0.014
  button | 'Virar Se–então' | val='' | en=False | id=encadear-seEntao | cx=0.500 cy=0.550 y=0.527 h=0.046
  group | '' | val='' | en=True | id=forma-woop | cx=0.500 cy=0.391 y=0.209 h=0.364
