application | 'Traço' | val='' | en=True | id=None | cx=0.500 cy=0.500 y=0.000 h=1.000
  button | 'Capturador de Folhas' | val='Expandido' | en=True | id=None | cx=0.500 cy=0.073 y=0.060 h=0.026
  button | 'Voltar' | val='' | en=True | id=campos-voltar | cx=0.113 cy=0.105 y=0.082 h=0.046
  heading | 'Se–então' | val='' | en=True | id=None | cx=0.183 cy=0.166 y=0.148 h=0.035
  button | 'Deixar como nota' | val='' | en=True | id=soltar-na-folha | cx=0.818 cy=0.171 y=0.161 h=0.019
  text | 'SE (HORA / LUGAR / OBSTÁCULO)' | val='' | en=True | id=None | cx=0.295 cy=0.216 y=0.209 h=0.014
  Grupo | 'Se (hora / lugar / obstáculo)' | val='' | en=True | id=campo-se | cx=0.500 cy=0.255 y=0.242 h=0.026
  text | 'ENTÃO EU (SUBSTITUTO CONCRETO, NÃO “NÃO FAÇO”)' | val='' | en=True | id=None | cx=0.461 cy=0.314 y=0.307 h=0.014
  Grupo | 'Então eu (substituto concreto, não “não faço”)' | val='' | en=True | id=campo-entao | cx=0.500 cy=0.353 y=0.340 h=0.026
  text | 'DEPOIS DISTO' | val='' | en=True | id=None | cx=0.152 cy=0.417 y=0.410 h=0.014
  button | 'Conferir o hábito em 7 dias' | val='' | en=False | id=encadear-compromisso | cx=0.500 cy=0.452 y=0.428 h=0.046
  group | '' | val='' | en=True | id=forma-seEntao | cx=0.500 cy=0.342 y=0.209 h=0.266
